ID,Deutsch,English,Comments,,
cardset.adult.card.sp0,"Wenn ich überraschenderweise an Geld komme (zum Beispiel durch Steuerrückzahlung, Bonus, Gewinne, Geschenke oder Erbschaft), kann ich es so ausgeben, wie ich es möchte.","If I get money by surprise, it's ""extra."" I can spend it how I want. Be it:
- a tax refund
- a bonus
- winnings
- a gift or
- an inheritance",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.sp1,"Ich habe viele Dinge gekauft, die ich nie benutze. Beispiel hierfür sind Kleidung, Werkzeuge, Bücher, Haushaltsgegenstände oder Hobbygegenstände.","I have lots of things I bought but never use.

Examples:
- clothes
- hobby stuff
- tools
- household items
- books",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.sp2,"Wenn ich einkaufen gehe, muss ich etwas kaufen.","When I go shopping, I have to buy something.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.sp3,"Ich sage gerne „ja“ zu unerwarteten Dingen, die sich gut für mich anhören. Das kann zum Beispiel ein Schnäppchen, ein spaßiges Event, ein neuer Job sein.","I like to say ""yes"" to unexpected things that sound good to me. It might be:
- a bargain
- a new job
- a good time",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.sp4,"Wenn ich verärgert oder traurig bin, kaufe ich etwas. Wenn ich etwas vermeiden will, kaufe ich etwas. Wenn ich mich großartig fühle, kaufe ich etwas.","If I'm upset,  
I buy something.  
or...  
If I want to avoid something,  
I buy something.  
or...  
If I feel great,   
I buy something.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.sp5,"Manchmal bereue ich die Art, wie ich mein Geld ausgegeben habe oder die Risiken, die ich eingegangen bin.",Sometimes I regret the way I've spent my money or the risks I've taken.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.sp6,"Ich mag es nicht zu warten. Wenn ich etwas möchte, aber kein Geld habe, werde ich:
- Geld vom Automaten abheben
- Meine Kreditkarte benutzen 
- Einen Kredit aufnehmen.","I hate to wait. If I want something and don't have money, I will:
- get cash from the ATM,
- use a credit card, or
- get a loan",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.sp7,"Ich habe Geheimnisse in Bezug auf was ich ausgebe, besitze, verliere oder anderen gebe.","I have money secrets about how much I spend, owe, lose, or give away.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.sp8,"Ich habe ""Spaßgeld"" auf der Seite, das ich ausgebe wie ich möchte. Beispielsweise belohne ich mich damit, riskiere etwas damit oder gebe es anderen.","I have ""fun"" money to spend any way I want.
It may be to treat myself, take a risk or give it away.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.st0,"Wenn jemand etwas nettes für mich tut, dann habe ich das Bedürfnis mich zu revanchieren.","When someone does something nice for me, I feel I owe him or her.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.st1,"Ich habe das Gefühl, dass ich die Rechnung bezahlen sollte, wenn ich mit anderen zum Essen ausgehe.",I feel I should pay the bill when I eat out with others.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.st2,Ich werde mehr Geld für einen Markennamen bezahlen den andere Leute kennen. ,I will pay more for a brand name that others will recognize.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.st3,"Ich verschenke gerne Dinge eines besonderen Geschäfts, von einer besonderen Marke oder die teuer aussehen.","I like to give gifts that come from a special store, have a brand name or look expensive.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.st4,"Ich würde es verheimlichen, wenn ich Geldprobleme habe. Um mein Image aufrecht zu erhalten werde ich Geld ausgeben, selbst wenn ich es mir nicht leisten kann. ","I will hide the fact that I am having money problems. Even if I can't afford it, I will spend money to keep up a good image.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.st5,"Ich denke, dass die Menschen mich nur mögen, wenn ich hilfsbereit bin. ",I think that people will only like me if I am generous.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.st6,"Ich denke darüber nach, was am besten zur Situation passt. Beispielsweise wenn ich Kleidung oder ein Geschenk auswähle oder ein Event plane.","I think about what is best for the situation. That might be when I:
- choose my clothes
- buy a gift
- plan an event",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.st7,"Ich mag es up-to-date zu sein. Das heißt beispielsweise stylische Klamotten, das neueste Smartphone, ein neues Auto. ","I like being up-to-date. That might mean I have things like:
- stylish clothes
- the latest phone
- a new car
- new gadgets",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.st8,"Es kommt mir so vor, als wären die meisten Menschen besser dran als ich. ",It seems most of the people I know are better off than I am.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.category.ca.description,"Geld ist keine Priorität. Das Leben kommt, wie es kommt. ",Money isn't a priority. You just let life happen.,Description of the category of cards,,
cardset.adult.category.ca.name,Sorgenfreiheit,Carefree,Name of the category of cards,,
cardset.adult.category.gi.description,"Geld hilft dir dabei, dich gut zu fühlen, indem du andere Menschen unterstützt.",Money helps you feel good by giving to others.,Description of the category of cards,,
cardset.adult.category.gi.name,Hilfsbereitschaft,Giving,Name of the category of cards,,
cardset.adult.category.pl.description,"Geld hilft dir, deine Ziele zu erreichen.",Money helps you achieve your goals.,Description of the category of cards,,
cardset.adult.category.pl.name,Planung,Planning,Name of the category of cards,,
cardset.adult.category.se.description,Geld hilft dir dabei dich sicher zu fühlen und alles unter Kontrolle zu haben.,"Money helps you feel safe, secure and in control.",Description of the category of cards,,
cardset.adult.category.se.name,Sicherheit,Security,Name of the category of cards,,
cardset.adult.category.sp.description,"Geld hilft dir dabei, den Moment zu genießen. ",Money encourages you to enjoy the moment.,Description of the category of cards,,
cardset.adult.category.sp.name,Spontanität,Spontaneous,Name of the category of cards,,
cardset.adult.category.st.description,"Geld hilft dir dabei, ein erfolgreiches Image zu haben. ",Money helps you present a positive image.,Description of the category of cards,,
cardset.adult.category.st.name,Status,Status,Name of the category of cards,,
cardset.adult.name,Erwachsene,Adult,"Name of the ���adult' cardset. String not currently used as this is the only card set, but if we add additional cardsets in the future this name will be used to distinguish it.",,
report.adult.advantages.ca,"Wenn die ""Sorgenfreiheit"" Habitude effektiv genutzt wird, wirst du

- Optimistisch sein, dass am Ende alles gut ausgeht.
- Schnell auf neue Möglichkeiten reagieren.
- Nicht von finanziellen Abwägungen oder Details abgelenkt werden.
- Leicht mit anderen teilen.
- Dich nicht von den Erwartungen anderer unter Druck gesetzt fühlen.","When the Carefree Habitude is used effectively you will:

- Be optimistic that everything will work out.
- Respond quickly to new opportunities.
- Not be distracted by money considerations or details.
- Easily share what you have with others.
- Not feel pressured by others' expectations.
",,,
report.adult.advantages.gi,"Wenn die ""Hilfsbereitschaft"" Habitude effektiv genutzt wird, wirst du

- Starke Werte und Überzeugungen haben.
- Anderen Menschen helfen und/oder Projekte unterstützen.
- Einen einfachen Lebensstil führen, der auf deinen nicht-materialistischen Werten basiert. 
- Dich ethisch und mit Integrität verhalten.
- Gebraucht werden: andere hängen von dir ab. 
- Als fürsorglich wahrgenommen werden. 
- Für deine Aufmerksamkeit für die Bedürfnisse der Menschen bewundert werden.","When the Giving Habitude is used effectively you will:

- Have strong values and convictions.
- Generously give to other people or causes.
- Live simply to reflect non-materialistic values.
- Act ethically and with integrity.
- Be needed; others depend on you.
- Be appreciated for being thoughtful.
- Be admired for being able to anticipate others' needs.
",,,
report.adult.advantages.pl,"Wenn die ""Planung"" Habitude effektiv genutzt wird, wirst du

- Finanzielle Entscheidungen treffen, die auf Werten und langfristigen Ergebnissen basieren. 
- Geld auf der Seite haben, welches du für unerwartete Ereignisse verwenden kannst.
- Ziele setzen und erreichen.
- Produkte kaufen, die du wirklich möchtest und die ihren Wert behalten. 
- Ein Gefühl von Wohlbefinden und Kontrolle haben. ","When the Planning Habitude is used effectively you will:

- Make intentional financial decisions based on values and desired long-term outcomes.
- Have money reserved to pay for the unexpected.
- Set and accomplish goals.
- Buy items you really want that will retain value.
- Have a sense of well-being and control.
",,,
report.adult.advantages.se,"Wenn die ""Sicherheit"" Habitude effektiv genutzt wird, wirst du

- Ein Budget, finanzielle Ziele und Ersparnisse haben. 
- Mit Bedacht hochwertige Produkte zu guten Preisen kaufen.
- Auf dein Geld achten.
- Morgen mehr Wahlfreiheit haben, da du heute gespart hast.
- Dich um dein Eigentum kümmern, sodass es länger hält.
- Disziplinierte Entscheidungen treffen und Belohnungen aufschieben.
- Im Notfall leicht an dein Geld kommen.","When the Security Habitude is used effectively you will:

- Have a budget, financial goals and savings.
- Shop wisely for value items on sale.
- Protect money by being conservative.
- Have more choices later because you've saved today.
- Take care of possessions so they last.
- Be disciplined to make choices and delay gratification.
- Easily get your money in case of emergencies.
",,,
report.adult.advantages.sp,"Wenn die ""Spontanität"" Habitude effektiv genutzt wird, wirst du

- Das Abenteuer und das Unerwartete genießen. 
- In der Lage sein, schnell auf Möglichkeiten zu reagieren.
- Viel Aufmerksamkeit und Anerkennung erhalten.
- Viele Freunde haben, die sich dir anschließen, wenn du Orte besichtigst oder Aktivitäten unternimmst.
- Dinge sofort bekommen, ohne darauf zu warten. 
- Spannendes erleben, da du Risiken eingehst.","When the Spontaneous Habitude is used effectively you will:

- Enjoy adventures and the unexpected.
- Be able to quickly respond to opportunities.
- Get a lot of attention and recognition.
- Have many friends and acquaintances who will join you when you want to go places or do things.
- Get things right away without waiting.
- Experience the thrill of taking risks.
",,,
report.adult.advantages.st,"Wenn die ""Status"" Habitude effektiv genutzt wird, wirst du

- Einen positiven ersten Eindruck hinterlassen.
- Großzügig gegenüber anderen sein.
- Unerwartete und teuere Geschenke machen.
- Aufmerksam sein, was andere Leute als wichtig erachten.
- Niemals andere mit deinen Geldsorgen belasten.
- Für deine Freigiebigkeit und Fürsorge für andere Menschen geschätzt werden.
- Es genießen, dich bei anderen zu revanchieren oder großzügig zu sein.","When the Status Habitude is used effectively you will:

- Present a strong first impression.
- Make generous donations.
- Give expensive or unexpected gifts.
- Be attentive to what is important to others.
- Never burden others about money problems.
- Be appreciated for generosity and helping others.
- Enjoy others returning favors and being generous.
",,,
report.adult.cat.advantages,Vorteile,Advantages,,,
report.adult.cat.challenges,Herausforderungen,Challenges,,,
report.adult.cat.combo,Deine persönliche Kombination,Your Personal Combination,,,
report.adult.cat.dom,Dominante Habitude Fragen,Dominant Habitude Questions,,,
report.adult.cat.gq,Generelle Fragen,General Questions,,,
report.adult.cat.haa,Deine Gewohnheiten und Einstellungen,Your Habits and Attitudes,,,
report.adult.cat.hosy,Wie andere dich sehen,How others see you,,,
report.adult.cat.miss,Fehlende Habitude Fragen,Missing Habitude Questions,,,
report.adult.cat.notme,Das bin ich nicht,NOT ME,,,
report.adult.cat.sometimes,Manchmal,SOMETIMES,,,
report.adult.cat.thatsme,Das bin ich  ,THAT'S ME,,,
report.adult.challenges.ca,"Herausforderungen, die dir begegnen können, wenn die ""Sorgenfreiheit"" Habitude dominiert, sind:

- Fehlende Fähigkeiten und Informationen, um selbstbewusste Entscheidungen zu treffen.
- Abhängigkeiten von anderen, da du deinen Lebensunterhalt eventuell nicht selbst bestreiten kannst.
- Das Gefühl, gefangen oder gezwungen zu sein, weil andere dich unterstützen müssen.
- Das Verpassen von Chancen, indem Verpflichtungen vermieden werden oder Fristen nicht eingehalten werden.
- Die fehlende Übersicht über finanzielle Verhältnisse oder Besitztümer.
- Frustration darüber, dass Pläne oft nicht funktioneren wie erwartet.
","Some challenges you may face related to the Carefree Habitude are:

- Lack the skills and information to feel confident.
- Unable to support yourself if the person(s) providing for you cannot continue or chooses to stop.
- Feel trapped or obligated by being supported.
- Miss opportunities by avoiding commitments or missing deadlines.
- Lose track of money or possessions.
- Frustrated by how often things don't work out as expected.
",,,
report.adult.challenges.gi,"Herausforderungen, die dir begegnen können, wenn die ""Hilfsbereitschaft"" Habitude dominiert, sind:

- Enttäuschung, falls finanzielle Unterstützung oder Geschenke nicht gewertschätzt werden.
- Unrealistische Erwartungen, dass Großzügigkeit im Gegenzug belohnt wird.
- Die Wahrnehmung anderer, dass du ihnen etwas aufzwingen möchtest.
- Intoleranz gegenüber Menschen, die einen anderen Lebensstil haben.
- Förderung von Abhängigkeiten oder unverantwortlichem Verhalten anderer, indem du sie zu sehr unterstützt.
- Das Aufopfern der eigenen Bedürfnisse für andere.
","Some challenges you may face related to the Giving Habitude are:

- Disappointed if money or gifts are not appreciated.
- May have unrealistic expectations that others will repay your generosity.
- Use giving as a form of control to impose your personal values on others.
- Intolerant of people who have different lifestyles.
- Resent when giving is expected and assumed.
- Promote dependence or irresponsible behavior by giving too much or too often.
- Sacrifice your needs or future security for others.
",,,
report.adult.challenges.pl,"Herausforderungen, die dir begegnen können, wenn die ""Planung"" Habitude dominiert, sind:

- Gefühlter Druck von anderen, sein Geld für Dinge auszugeben, die man nicht möchte oder braucht.
- Erwartungen, anderen Menschen zu helfen, die nicht vorgesorgt haben.
- Chancen zu verpassen, falls das bedeutet, das der eigene Plan sich ändert oder verworfen werden muss.
- Intoleranz oder Ungeduld, falls andere Menschen andere Entscheidungen treffen oder andere Werte haben.
- Verschweigen von Informationen vor wichtigen Personen, um die Kontrolle über die Finanzen nicht zu verlieren.","Some challenges you may face related to the Planning Habitude are:

- Feel pressured by others to spend money on things that do not fit your budget or values.
- Expected to help others who did not plan.
- Have difficulty responding to new opportunities if it means changing or abandoning your plan.
- Intolerant or impatient when others do not meet your standards or have different values.
- Hide or withhold information from significant others to stay in control of the money.
",,,
report.adult.challenges.se,"Herausforderungen, die dir begegnen können, wenn die ""Sicherheit"" Habitude dominiert, sind:

- So viel zu sparen, dass kein Geld mehr für deine aktuellen Bedürfnisse und Wünsche da ist.
- Kauf von preisgünstigen Produkten, die man nicht wirklich möchte oder die nicht langfristig halten.
- Risikovermeidung, die dazu führt dass das Geld zwar sicher ist aber nicht sinnvoll angelegt wird.
- Verzicht auf Beziehungen oder Teilnahme an Freizeitaktivitäten, die mit Kosten verbunden sind.
- Keine Möglichkeit, die Vorteile unerwarteter Angebote zu nutzen.","Some challenges you may face related to the Security Habitude are:

- Save so much there is no money for today's wants and needs.
- Buy based on price when it isn't what is actually wanted or won't hold up over time.
- By avoiding risk, money is safe but doesn't grow or your job is secure but you can't go any higher.
- Sacrifice participating in enjoyable activities or relationships because of the costs involved.
- Unable to take advantage of unexpected sales and opportunities.
",,,
report.adult.challenges.sp,"Herausforderungen, die dir begegnen können, wenn die ""Spontanität"" Habitude dominiert, sind:

- Das Ausgeben von Geld, selbst wenn man es nicht hat.
- Schuldenaufnahme für Dinge, die man nicht benötigt.
- Keine Rücklagen für unerwartete Situationen.
- Schulden bei anderen.
- Ein Gefühl des Kontrollverlusts über deine Ausgaben.
- Verschweigen von finanziellen Sorgen vor wichtigen Personen in deinem Leben aufgrund von Scham oder Schuld.
","Some challenges you may face related to the Spontaneous Habitude are:

- Spend money even when you don't have it.
- Go into debt to buy things you don't need.
- Do not have reserves for the unexpected.
- Often owe money to others.
- Feel powerless to control your spending.
- Keep money secrets from significant people in your life because you feel guilty or ashamed of your spending, debt or how much you give to others.
",,,
report.adult.challenges.st,"Herausforderungen, die dir begegnen können, wenn die ""Status"" Habitude dominiert, sind:

- Das Erzeugen eines falschen Bildes von Wohlstand
- Gefühlter Druck, ständig mit anderen mithalten zu müssen.
- Keine Reserven für unerwartete Situationen.
- Unbedachtes Ausgeben von Geld, um das Image aufrecht zu erhalten.
- Die Erwartung einer bevorzugten Behandlung.
- Verhaltensweisen, die auf eigenen Gewinn abzielen, können als unaufrichtig von anderen empfunden werden; Menschen können sich ausgenutzt fühlen.
- Verschweigen finanzieller Probleme aus Sorge du könntest deine Freunde oder deinen Status verlieren, falls andere deine wirkliche finanzielle Situation kennen.
","Some challenges you may face related to the Status Habitude are:

- Create a false impression of having wealth.
- Feel constant stress to keep up with others.
- Do not have reserves for the unexpected.
- Spend money unwisely to maintain appearances.
- Feel entitled to special treatment.
- Actions motivated by personal gain may be seen as suspicious and insincere; people may feel used.
- Keep money secrets because of the fear of losing friends or status if others knew your real financial situation.
",,,
report.adult.cover.branding,,Brought to you by:,,,
report.adult.cover.description,"Money Habitudes ist ein einfacher und unterhaltsamer Weg, deine finanzielle Persönlichkeit verstehen zu lernen. Es hilft dir dabei, auf eine neue Weise über Geld zu denken und zu sprechen.","Money Habitudes is a fun, easy way to understand your money personality. It helps you think about money in new ways and talk about your finances.",,,
